Post_Date,Job_Title,Industry,Primary_Skill,Experience_Level,Min_Salary,Max_Salary,Region,Remote_Allowed,Applicant_Count,Job_Type,Company_Size,Urgency_Level,Education_Required,Attrition_Risk,Economic_Indicator_Score,Hiring_Budget_Status,Demand_Index
2024-01-01 00:00:00,QC Officer,IT & Outsourcing,Project Management,Senior,70411,185874,Colombo,0,76,Intern,MNC,Low,PhD,0.2937885280606458,3.433765693620193,Under,1.0793768019201546
2024-01-01 01:00:00,HR Analyst,Healthcare,AWS,Mid,93803,148346,Colombo,0,130,Full-time,Startup,High,Bachelors,0.2946751067920984,7.2343661602909695,On-Track,1.3858831807085061
2024-01-01 02:00:00,Full Stack Developer,Healthcare,AWS,Mid,69296,160772,Colombo,1,174,Contract,SME,High,PhD,0.8019833567270661,3.281083244833282,Over,2.5109674440083123
2024-01-01 03:00:00,HR Analyst,Manufacturing,SQL,Mid,76293,182084,Colombo,1,209,Intern,MNC,High,PhD,0.2592141536119897,4.207290339889344,Over,2.739438742741798
2024-01-01 04:00:00,HR Analyst,Healthcare,Machine Learning,Lead,77172,150149,Kandy,1,199,Full-time,Startup,Low,Masters,0.7295685815883273,2.721510891072077,On-Track,2.57865547089618
2024-01-01 05:00:00,ML Engineer,Healthcare,Machine Learning,Mid,71128,196700,Kandy,1,162,Full-time,Startup,High,PhD,0.4694452272156959,8.706701743274307,Over,2.2775840737824766
2024-01-01 06:00:00,Full Stack Developer,IT & Outsourcing,Java,Entry,68257,137526,Kandy,1,145,Intern,SME,Low,PhD,0.8992726142378487,8.943838874375537,On-Track,2.1243242451323674
2024-01-01 07:00:00,Full Stack Developer,Manufacturing,Java,Lead,62855,195712,Colombo,0,279,Full-time,Startup,Medium,Bachelors,0.7712731989216843,3.672212571238884,Under,4.438787685943838
2024-01-01 08:00:00,Full Stack Developer,Retail,SQL,Lead,69642,178477,Galle,0,11,Intern,MNC,Low,Bachelors,0.6917625075582544,8.41230841753567,Over,0.1579506619568651
2024-01-01 09:00:00,HR Analyst,IT & Outsourcing,Java,Mid,85585,115695,Colombo,1,58,Full-time,MNC,Medium,Masters,0.7965810453217564,4.224174850332856,Over,0.677688847344745
2024-01-01 10:00:00,QC Officer,IT & Outsourcing,Power BI,Entry,70025,149169,Colombo,1,108,Contract,Startup,Low,PhD,0.6072243140840269,1.8911748060564246,Under,1.5423063191717243
2024-01-01 11:00:00,Full Stack Developer,Retail,Project Management,Lead,54458,157947,Galle,1,65,Intern,MNC,Low,PhD,0.7749218052227981,7.822687575628661,Under,1.1935803738660988
2024-01-01 12:00:00,Cloud Architect,Healthcare,Python,Senior,55307,157224,Colombo,0,91,Contract,Startup,High,PhD,0.30890147788916467,6.368016240089602,Over,1.6453613466649792
2024-01-01 13:00:00,HR Analyst,Finance,Power BI,Lead,91701,155865,Colombo,0,262,Intern,MNC,Low,PhD,0.17816256888085996,3.4694419930367535,Over,2.8571116999814614
2024-01-01 14:00:00,ML Engineer,Manufacturing,Python,Mid,68425,135553,Galle,0,182,Full-time,SME,High,PhD,0.592745605669335,3.2769976646066232,On-Track,2.659846547314578
2024-01-01 15:00:00,QC Officer,Finance,Python,Entry,99831,170410,Colombo,1,246,Contract,MNC,Medium,PhD,0.4477523141308688,9.780610334340892,On-Track,2.4641644379000507
